Date,Open,High,Low,Close,Volume
1997-05-16,0.0985,0.099,0.0855,0.0865,294000000
1997-05-19,0.088,0.0885,0.081,0.0855,122136000
1997-05-20,0.0865,0.0875,0.082,0.082,109344000
1997-05-21,0.082,0.0825,0.069,0.0715,377064000
1997-05-22,0.072,0.0725,0.0655,0.07,235536000
1997-05-23,0.0705,0.076,0.0665,0.075,318744000
1997-05-27,0.0755,0.0825,0.073,0.079,173952000
1997-05-28,0.081,0.082,0.0765,0.0765,91488000
1997-05-29,0.077,0.077,0.074,0.0755,69456000
1997-05-30,0.075,0.0755,0.074,0.075,51888000
1997-06-02,0.0755,0.0765,0.075,0.0755,11832000
1997-06-03,0.0765,0.0765,0.074,0.074,23664000
1997-06-04,0.074,0.0745,0.07,0.071,61608000
1997-06-05,0.071,0.077,0.069,0.077,113448000
1997-06-06,0.076,0.0855,0.0755,0.083,156144000
1997-06-09,0.083,0.0855,0.083,0.0845,47040000
1997-06-10,0.0855,0.0855,0.0765,0.079,109176000
1997-06-11,0.0795,0.08,0.0765,0.077,23760000
1997-06-12,0.079,0.0825,0.0775,0.08,32640000
1997-06-13,0.081,0.081,0.079,0.079,13872000
1997-06-16,0.08,0.08,0.078,0.0785,18264000
1997-06-17,0.08,0.08,0.0745,0.0755,94128000
1997-06-18,0.076,0.077,0.075,0.0755,49296000
1997-06-19,0.0755,0.0765,0.075,0.0755,20064000
1997-06-20,0.0765,0.0775,0.075,0.0765,67752000
1997-06-23,0.077,0.077,0.074,0.075,20952000
1997-06-24,0.0755,0.0765,0.074,0.0755,15024000
1997-06-25,0.0765,0.0765,0.0745,0.0755,42120000
1997-06-26,0.076,0.076,0.0755,0.0755,63792000
1997-06-27,0.076,0.076,0.074,0.0745,23760000
1997-06-30,0.0755,0.08,0.074,0.077,54936000
1997-07-01,0.077,0.077,0.0755,0.076,25848000
1997-07-02,0.076,0.0795,0.0755,0.0795,77640000
1997-07-03,0.08,0.096,0.0795,0.0955,251544000
1997-07-07,0.0915,0.101,0.0915,0.1,161064000
1997-07-08,0.102,0.1165,0.102,0.115,310344000
1997-07-09,0.115,0.1195,0.1135,0.116,165240000
1997-07-10,0.1165,0.1285,0.1165,0.128,181032000
1997-07-11,0.126,0.126,0.1105,0.1145,210624000
1997-07-14,0.116,0.1165,0.1055,0.107,92088000
1997-07-15,0.107,0.124,0.107,0.122,185496000
1997-07-16,0.1225,0.1245,0.115,0.1165,60480000
1997-07-17,0.117,0.117,0.108,0.111,63384000
1997-07-18,0.1095,0.111,0.108,0.108,15600000
1997-07-21,0.109,0.11,0.1075,0.109,11496000
1997-07-22,0.1085,0.1095,0.103,0.107,31272000
1997-07-23,0.1095,0.1165,0.109,0.1145,65184000
1997-07-24,0.115,0.1155,0.111,0.113,24336000
1997-07-25,0.111,0.1125,0.111,0.1115,12408000
1997-07-28,0.1115,0.12,0.111,0.116,51480000
1997-07-29,0.118,0.125,0.1165,0.124,96288000
1997-07-30,0.125,0.1255,0.1215,0.1225,50352000
1997-07-31,0.122,0.122,0.1165,0.12,29088000
1997-08-01,0.117,0.121,0.1125,0.121,71760000
1997-08-04,0.119,0.1205,0.115,0.1155,53424000
1997-08-05,0.1165,0.1165,0.1075,0.1105,60648000
1997-08-06,0.1105,0.1155,0.1095,0.1125,24864000
1997-08-07,0.1125,0.113,0.106,0.109,40680000
1997-08-08,0.1085,0.115,0.105,0.1145,44232000
1997-08-11,0.1145,0.1165,0.1125,0.1165,24792000
1997-08-12,0.114,0.115,0.11,0.11,11424000
1997-08-13,0.1115,0.1115,0.1085,0.11,11808000
1997-08-14,0.109,0.1125,0.106,0.108,20832000
1997-08-15,0.107,0.108,0.097,0.1055,31944000
1997-08-18,0.1025,0.1025,0.0985,0.102,35688000
1997-08-19,0.1045,0.1105,0.1025,0.1085,20064000
1997-08-20,0.1095,0.1095,0.1035,0.1085,19992000
1997-08-21,0.107,0.1085,0.1035,0.1055,12480000
1997-08-22,0.105,0.106,0.1045,0.106,14256000
1997-08-25,0.105,0.113,0.105,0.111,22536000
1997-08-26,0.112,0.1175,0.1115,0.117,51480000
1997-08-27,0.1155,0.116,0.1125,0.116,27840000
