Date,Open,High,Low,Close,Volume
1999-01-22,0.0401271,0.0447103,0.0355331,0.0376018,740416863
1999-01-25,0.0405864,0.0419634,0.0376018,0.0414991,139413824
1999-01-26,0.0419634,0.0428759,0.0378386,0.0382868,93919355
1999-01-27,0.0385123,0.0394331,0.0362297,0.0382868,67279765
1999-01-28,0.0382868,0.0385123,0.0378386,0.0380583,62320835
1999-01-29,0.0380583,0.0382868,0.0362297,0.0362297,67135680
1999-02-01,0.0362297,0.037377,0.0362297,0.036919,42340959
1999-02-02,0.0362297,0.037377,0.0330168,0.0341571,72003214
1999-02-03,0.0337177,0.0353183,0.0334779,0.0348559,20961127
1999-02-04,0.0353183,0.0378386,0.0348559,0.0366834,50256916
1999-02-05,0.037377,0.0382868,0.0364567,0.0378386,37682947
1999-02-08,0.0380583,0.0382868,0.0364567,0.0364567,42079279
1999-02-09,0.037377,0.0376018,0.0346193,0.0350837,23800379
1999-02-10,0.0350837,0.0359942,0.0341571,0.0348559,41045539
1999-02-11,0.0348559,0.0392015,0.0348559,0.0378386,36452934
1999-02-12,0.0382868,0.0401271,0.0382868,0.0398945,30538831
1999-02-16,0.0405864,0.04218,0.0359942,0.0401271,58225371
1999-02-17,0.0392015,0.0396677,0.037377,0.0380583,18540590
1999-02-18,0.0392015,0.0396677,0.0376018,0.0385123,19809611
1999-02-19,0.0382868,0.0405864,0.0378386,0.0398945,21052724
1999-02-22,0.0405864,0.0410388,0.0380583,0.0401271,56511247
1999-02-23,0.0410388,0.0428759,0.0387442,0.0419634,38206287
1999-02-24,0.0481421,0.0502051,0.044251,0.0454024,167518929
1999-02-25,0.0472315,0.0488351,0.0433452,0.0440182,40705352
1999-02-26,0.0444845,0.0458586,0.0414991,0.0419634,47757932
1999-03-01,0.0428759,0.0440182,0.0401271,0.04218,25265792
1999-03-02,0.0419634,0.04218,0.0410388,0.0417307,15439579
1999-03-03,0.0419634,0.0419634,0.0387442,0.038972,17310627
1999-03-04,0.0408112,0.0410388,0.0378386,0.0380583,16329315
1999-03-05,0.0385123,0.0403518,0.0385123,0.0401271,21772336
1999-03-08,0.0392015,0.0419634,0.0385123,0.0408112,21288285
1999-03-09,0.0408112,0.0426466,0.0408112,0.04218,39645642
1999-03-10,0.0426466,0.0426466,0.0408112,0.0414991,64178733
1999-03-11,0.0408112,0.0414991,0.0396677,0.0396677,15020865
1999-03-12,0.0398945,0.0398945,0.0382868,0.038972,25409737
1999-03-15,0.0398945,0.0410388,0.0396677,0.0405864,30159616
1999-03-16,0.0408112,0.0412705,0.038972,0.0392015,21942510
1999-03-17,0.0396677,0.0403518,0.0385123,0.0394331,14510454
1999-03-18,0.0396677,0.0405864,0.0387442,0.0401271,13110558
1999-03-19,0.0398945,0.0412705,0.0398945,0.0401271,29400494
1999-03-22,0.0410388,0.0410388,0.038972,0.038972,10467489
1999-03-23,0.0392015,0.0392015,0.0357676,0.0364567,44813824
1999-03-24,0.0362297,0.0364567,0.0348559,0.0362297,17088025
1999-03-25,0.0362297,0.0382868,0.0359942,0.0366834,11291817
1999-03-26,0.037377,0.0401271,0.037377,0.0401271,24350028
1999-03-29,0.0412705,0.04218,0.0405864,0.0412705,18527400
1999-03-30,0.0412705,0.0417307,0.0376018,0.0378386,19299291
1999-03-31,0.038972,0.0408112,0.0371475,0.0403518,41869987
1999-04-01,0.0403518,0.0405864,0.0385123,0.0392015,8544193
1999-04-05,0.0387442,0.0396677,0.0378386,0.0380583,27293895
1999-04-06,0.0382868,0.0385123,0.0362297,0.036919,19377868
1999-04-07,0.037377,0.0403518,0.036919,0.0401271,24781851
1999-04-08,0.0403518,0.0419634,0.0398945,0.0408112,35550119
1999-04-09,0.0410388,0.0410388,0.0398945,0.0401271,13345989
1999-04-12,0.0396677,0.0396677,0.0378386,0.0385123,9773975
1999-04-13,0.0392015,0.0392015,0.0362297,0.036919,10244957
1999-04-14,0.0366834,0.0376018,0.0357676,0.0357676,13202114
1999-04-15,0.0366834,0.0366834,0.0357676,0.0366834,10114242
1999-04-16,0.0364567,0.0385123,0.0364567,0.0380583,10689940
1999-04-19,0.0385123,0.0385123,0.0357676,0.0362297,8910459
1999-04-20,0.0362297,0.0378386,0.0353183,0.0355331,18527400
1999-04-21,0.0355331,0.0362297,0.0353183,0.0362297,10820815
1999-04-22,0.0362297,0.0362297,0.0343868,0.0346193,62176800
1999-04-23,0.0343868,0.0346193,0.032785,0.0330168,34555657
1999-04-26,0.0330168,0.0334779,0.0304884,0.0311834,34202370
1999-04-27,0.0320983,0.0348559,0.0314141,0.0346193,62072134
1999-04-28,0.0348559,0.0348559,0.0332515,0.0343868,32750106
1999-04-29,0.0343868,0.0346193,0.0337177,0.0343868,13149726
1999-04-30,0.0348559,0.0362297,0.0343868,0.0348559,27581884
1999-05-03,0.0353183,0.0353183,0.0341571,0.0350837,9263665
1999-05-04,0.0350837,0.0350837,0.0325554,0.0332515,26194777
1999-05-05,0.0334779,0.0339333,0.0314141,0.0339333,39501598
1999-05-06,0.0337177,0.0343868,0.0323268,0.0332515,10022556
1999-05-07,0.0323268,0.0337177,0.0323268,0.0334779,6974053
1999-05-10,0.0332515,0.0341571,0.0332515,0.0334779,5443071
1999-05-11,0.0348559,0.0362297,0.0341571,0.0353183,47391496
1999-05-12,0.0355331,0.0364567,0.0350837,0.0362297,46004509
1999-05-13,0.0362297,0.037377,0.0362297,0.0362297,19482574
1999-05-14,0.0362297,0.0362297,0.0339333,0.0343868,8439427
1999-05-17,0.0339333,0.0359942,0.0337177,0.0359942,10074944
1999-05-18,0.0364567,0.0382868,0.0353183,0.0378386,41725822
1999-05-19,0.0394331,0.0408112,0.0355331,0.0359942,123215304
1999-05-20,0.0362297,0.0362297,0.0318705,0.0332515,48660677
1999-05-21,0.032785,0.032785,0.0314141,0.0325554,82902487
1999-05-24,0.032785,0.0334779,0.0318705,0.0323268,44983998
1999-05-25,0.0325554,0.0330168,0.0323268,0.0325554,35537130
1999-05-26,0.0325554,0.0341571,0.0325554,0.0325554,29151964
1999-05-27,0.032785,0.032785,0.0323268,0.0323268,22544407
1999-05-28,0.032785,0.032785,0.0323268,0.0325554,24506962
1999-06-01,0.0325554,0.032785,0.0320983,0.032785,27254737
1999-06-02,0.032785,0.032785,0.0314141,0.0314141,35550119
1999-06-03,0.0323268,0.0325554,0.0320983,0.0323268,11815237
1999-06-04,0.0325554,0.032785,0.0323268,0.0325554,21837764
1999-06-07,0.032785,0.0334779,0.032785,0.0330168,34163242
1999-06-08,0.0330168,0.0343868,0.0330168,0.0337177,42484934
1999-06-09,0.0339333,0.0350837,0.0339333,0.0343868,26561293
1999-06-10,0.0343868,0.0346193,0.0341571,0.0343868,10218758
1999-06-11,0.0343868,0.0346193,0.0325554,0.0337177,17153523
1999-06-14,0.0339333,0.0339333,0.0323268,0.0325554,14641349
1999-06-15,0.0325554,0.032785,0.0320983,0.0325554,13633828
1999-06-16,0.0330168,0.0343868,0.0325554,0.0334779,17873296
1999-06-17,0.0332515,0.0337177,0.0325554,0.0325554,20869561
1999-06-18,0.032785,0.032785,0.0311834,0.0311834,43322272
1999-06-21,0.0323268,0.0330168,0.0314141,0.0330168,23041608
1999-06-22,0.0330168,0.0330168,0.0316407,0.0323268,52782209
1999-06-23,0.0320983,0.0330168,0.0316407,0.0330168,58186073
1999-06-24,0.0332515,0.0332515,0.0320983,0.0323268,31402408
1999-06-25,0.0320983,0.0330168,0.0320983,0.032785,20280803
1999-06-28,0.0337177,0.0337177,0.0325554,0.0332515,30303240
1999-06-29,0.0337177,0.0339333,0.0332515,0.0334779,25488354
